Block = 44930737,Price = 0.011864
Address,XP
0x8476be71c1721d200ed1cf1a091508b8f54b9a13,18
0x0ee4b4dc76fb14f3357bd99482cbcb7f1cf5e827,4
0x3fcd3d3c02e5cbf4aec54496e89c319fed426d46,2
0xde9ba5f62d6047c4a9ccf24455aa733ccc5b8f41,6
0x5df3da529efd8200132377989b1c97d57a0aa19f,6
0x23d2c6025cedf8d5775f12d4ef7fb12761924e3f,102
0xc357236ed6f97f3810127a345e084ba1f06abaaf,58
0x129552ee5ae0f382138b1e312a27267b917a157c,4
0x1f4db76256be8c0186493e87c8f24fae755df4ec,6
0x45b16cc60331f7aa5f3c86101ea36eb0db367f95,188
0xc232b36387e1865e34433b6e527483bb1adeec9a,12
0xac847a5c0de568bcfb3bc99f131859b51e9553a5,18
0x1bdad819494d64b476ff2cd2f783c3567ce1fd9d,2
