Block = 120964918,Price = 0.578204
Address,XP
0x1a96e9ef572a896a6e968867c8ed9eeb6497865c,2
0xbc891c1d26c735825c3926571ac628d92da829da,2
0x5c765502226b888aebbbb8adb912a3c751f896d7,10
0x1a4f576c32b2838aa4df000b64ffd569b565a599,8
0xb009ac11c8e8ff8acca6d2a4cce3d4b679542aef,2
0x00a990f0bd8d6ca2b99b7a02eabc499c558c591b,4
0x2bcd8898a678050efa5f41f4c6012045dee1b5c3,22
0xaae7bf761972203f883005d9f23fe91b641fcf5d,46
0xc31fa6b85bf24ccb05191b39ac607bb78c67aa99,10
0xa7e3bb810245c508c51722a3f9b8f98e0a9c56be,4
0x949fdf43121e12c9c833eeb1dd5e7416b70337f4,4
0x23c6ac6340d5e0b9599e9ffd067c860a11fa70cd,6
0x9d8a578cec79e894fc6985df550b7e5fd0e505e6,2
0x91f12f5bfe992b5c006cdbea97ab277436c1841f,2
0xe6fa8aa31de25e35ed488ac35dbccb5479b319f4,22
0x49bb21634629470b87aa6d4a2d9da7085ffe801b,6
0xed6617fc3dc721d5953b038b0e9c7c8d6e55242f,6
0x17449b8aacb9558a57a827020e6d84362c42e067,4
0x9eb16f427608a14d0ac3dc150652065a1869592c,6
0xdc257fe006e307b3b39996fecf752153a6a537db,24
0xefbe454cf0faccde799e197903dc6088572533a5,4
0x056e3e22d392db72bdc9467ef40b2301c194c10f,2
0xaa8b6ef0ca0efae04eea113160a77434fd0d2828,4
0xa5b101d935fb5108f926b6bc5debf256a961312f,4
0xe51c4a096d583688baa500350b46fa498b4c3f92,4
0xf593dfad9ffc83bb19e25e05d48b20e860b38602,2
0xfbd08fd2b2c7148b4e38624158c3155b5b49f886,4
0x8c3f72a11636fe3d63722c1d95dc55b859936b9b,4
0x5c84a157488ba71cb8f0f42499bd10cc59e024cf,2
0xdc1540a9c1e113f2ab1270f9bbf1337670b28f8c,22
0xf2f5e4099be30bda9a8f85b7138c563f8d1e8501,2
0xbbc5489102989caa759bc8a17101121af5b52d0e,2
0x6238edc540eb0701a25bd74a1395ed73a9cfcd01,2
0x0c82e08b1b4e62033d2ac3010eb774b30788b8ff,22
0x7ebf2a5bcc554986140e879dede691276b8d0757,10
0x7753ae3ffe35e3cb286a05e6c621b14a683cc6b8,4
0x24840a0fea77451054ba076db3ca708a3a5b7b77,4
0x50bc207600654d47825314892e00138103a01902,12
0xf842e33c3d9105a69c36e3cf052326e2fcc92d83,4
