Block = 3540631,Price = 0.776154
Address,XP
0x86338bb91bf39a95fc1a23834941dafd53b8cd06,40
0xc0190dfac63dc7cbda1446295b66f5c09a96c7a4,60
0x81d32649d84f17d08241369a5f499238df52c6d8,60
0x22723cc5ae5a1b4514ca41f2466e2ade15cf529b,5
0x59b56456ca2272907505ba3c65403bfbb05c8b9d,115
0x49a621908af885ea2792700fda6c9a096f832976,10
0x5f9cf8966df23ec46a76ab2fcea7b14101a47570,110
0x3cf282cd2df98d8589598fde938eecd1dac9671f,10
0xad5d9b9e062555ef621fbed3c8bd86e618f2f0d3,110
0x1ba350e56f152309a37a5eca77c1ddc602f0d3a5,180
0x497c962a39f7f028ff69f5564eb4f3067f1a3a3c,15
0x8739e30c9937b93861362bae998036d7e2d3f372,20
0xa16e3aadd14dc380d3f8e3c32b6314d08df8e989,5
0x2c2fa8a0b0aa01169d1f7e2dc70829572c263d58,25
0x5b977ce6ae6de2947d32ebd3ec1ee7f57e30a82f,90
0xd88fed07219ba97abaa81f6e08376f90a4b20223,35
0x0376e511a9e02c9a93c5e95f6b7c0a2654ce2e72,220
0x3ec3705d230cfc1f71e63ec8a97156971c5842eb,550
0xbe9911638aa84608c900209f0caafa006887c961,5
0xfbd08fd2b2c7148b4e38624158c3155b5b49f886,220
0x347240187958635055a3cdbba56d68589aec7f51,195
0xc6ff1e80683cac1a497228871953ccab90fa3bdf,70
0xc98233dee987c05cb3b021f8ba5e361f225c3920,5
0xf175846de880d076204156997f30e2ba24247890,410
0x52125738a4ac48f5a620756e6c63dee6aa021562,30
0x32f6ca5bfa09b8b30538e51ce258c591eecae6a9,25
0x0cb63719d7fbb807f82423ca42cc3506a5aedc10,40
0xbdac6532be38db1d48640d46c3011df6d4c099ec,5
0x0d95918633826b963920a10c6ed9db4b2a7420e3,235
0xaae7bf761972203f883005d9f23fe91b641fcf5d,550
0x42d30b86fc815dd6e05e0dee8c3b2f7fc0035af5,60
0x3708dacc7195375d20aa2ccbc2b6846c0c128a77,5
0x168684114d10f4b52f4c5ad85e0824b0968b2b14,710
0xd9dc13f3286c15eba48ff55e9f39020a6b1a8591,15
0xc998eb9631eff829c149a300fe2848b301a35530,45
0x551ccfb52b9bf9e6ab8fe3c8bb327fc93114a7ea,15
0x486cf0d01285fbaca51e1a4b4b4d85f08edf635f,15
0x078ca0b8b10891887c4c8f1bc064f766565a9787,15
0x80d73c92fb38c2eb29cc211ef3cf96f3f1d94c73,115
0x5cc84b2910eb23551abb9da058af67a9c2abb440,30
0xf8e644d241d3079861b56704546cc17eef270a35,30
0xb1a2ae27e51d0513d03386f831bbefc5c258b1e5,25
0x3b26bf463dd8b139107999f5efa4a778cbdc6ce8,20
0xebf6fe7679b2050e24cab1bdfc61b9e74ab9e09d,10
0xdd1fe18e9fc6ac20a37f0a03b3e36aad4a6ca297,50
0x4b5948ac7de68e3871b8a9d7e5e1ac3ae5b720c8,5
0x2d656a133e3f075a1d1e2c9b759bcf651fb2414a,10
0xe2709123173ac00f72dbba4e9acb6ed91db81513,100
0xa91e492b00c00b6a05186e85754133d2790ea009,45
0x1108d0d1eb4b6822c980455e518c297cbb5e5eda,5
0x5f64e6ae87c8a35d57f045129f1c90b2aad4d9a6,155
0xe15e9e17e8c17c1b14fe506dadb8e879f6bb9b84,20
0x28f8a2bfe15b56e32d9b769e2e92c87998ccd3bc,305
0x04672345b74370a30963efd91f466eda618dadbd,385
0xc99f3964b77af2a985978970c1d1fea015d2420f,440
0x63eb09403356e72037074d36882db0f156c8a4b3,30
0x59fe8ddfd894f0d8b041f18c49848d861005013f,25
0x0a02c91391298935dbd956c91f14b8272275efeb,10
0x634ceaa5abf564a6eaddb1e9966a7f2932f27319,20
0x21bda4245321824aba3b4738697b82a7bc25ff08,115
0xf614ddc260c8e72efd5aec92e3a4e3ecc4c2a116,5
0x49bb21634629470b87aa6d4a2d9da7085ffe801b,960
0xee6066b7655657e34f6190629a64f0a8014d3a96,15
0xe33a5f352ff0ade0a2bc14c1985f790cc38864b1,5
0x11d2361ed3fbd5331757c224591238ff28d4e0ac,5
0xf37083d4d2efe0b370db1770e37e0bd7b090a00c,30
0x6bd46edb7ebb742dd6fa514491b80241d2d83a57,5
0xd47248d5cc7bd078d111b9bae350587621a5aab6,5
0xae69116e4aa49645f78c1fc9f28f677aede0d153,25
