Block = 41669637,Price = 0.005172
Address,XP
0x23d2c6025cedf8d5775f12d4ef7fb12761924e3f,210
0xde9ba5f62d6047c4a9ccf24455aa733ccc5b8f41,10
0x3bd6437cdedf77f667c726f4d15b0517522df912,20
0x8476be71c1721d200ed1cf1a091508b8f54b9a13,40
0x5df3da529efd8200132377989b1c97d57a0aa19f,10
0xc232b36387e1865e34433b6e527483bb1adeec9a,20
0x90f39dc954dc5e3ba6cd05b7126fc3e695ba6919,10
0x3a092d80e26826ee3beca145ce6876f96ebc9d3f,90
0x37b5d2a70b0d941696c11b271cb804f8f4bb5f9e,40
0x6554a95732553fe4d546b3dadd219a5c149bddff,20
0xc357236ed6f97f3810127a345e084ba1f06abaaf,120
0x45b16cc60331f7aa5f3c86101ea36eb0db367f95,410
