Block = 21348708,Price = 0.008008
Address,XP
0xb8c0fff6ffa04e40f43b2231601cd65a6d98bd37,12
0x829f798c09d3fc9948722dbf0bb52344c6c3acf7,34
0x9951eebf2ac2a45da93496cc3070187d55af2255,2
0x5e900f783551f31da6480245c486bdfc9666ddd1,224
0x221d95d7375b8dfe3cc87ab6c3bbf2db5d42b0fe,98
0x84d810ebd2e5004fe0c6cd6526e84292d8f5218f,14
0x3d8cd592152b22f950fd2e49e6a5caf7cab226bc,28
0x72c3a2f6248d1524b4add530bd4b10732608d974,256
0x1b413fc0c2bc73ed2fd6b91053a21b1f680ea62c,280
0x04cbd43aa158d1d18e1a47f2eac877476857cd89,1228
0x60b63cdc5f952d135bfe0d36823c658015af9a66,14
0x7fb51bda6ffcc250f0a92fee533c5a65f445ef13,76
0x7ebfa3dbda499d2e4766a2aac720539b43ec3c83,200
0xf0eda474d1488975263d1b229ebc4a725813143e,124
